CSE,owner,35,california
V_user_759,customer,60,New Hampshire
J_user_760,customer,50,Vermont
G_user_761,customer,72,Massachusetts
B_user_762,customer,71,Oregon
Y_user_763,customer,44,Connecticut
L_user_764,customer,18,Indiana
G_user_765,customer,30,Arizona
Z_user_766,customer,76,New Mexico
J_user_767,customer,44,Iowa
S_user_768,customer,40,New Jersey
D_user_769,customer,46,Georgia
A_user_770,customer,58,Louisiana
A_user_771,customer,71,North Dakota
Z_user_772,customer,68,Minnesota
K_user_773,customer,23,North Carolina
W_user_774,customer,16,Nebraska
G_user_775,customer,56,Wisconsin
X_user_776,customer,80,Tennessee
O_user_777,customer,91,Washington
L_user_778,customer,12,Virginia
M_user_779,customer,48,Vermont
I_user_780,customer,39,Nebraska
G_user_781,customer,90,Kansas
G_user_782,customer,49,Virginia
U_user_783,customer,60,Washington
O_user_784,customer,49,Arkansas
M_user_785,customer,16,Colorado
H_user_786,customer,91,Utah
D_user_787,customer,68,Washington
V_user_788,customer,14,Maine
E_user_789,customer,75,Kentucky
U_user_790,customer,92,South Carolina
K_user_791,customer,95,Oklahoma
D_user_792,customer,76,New Mexico
S_user_793,customer,36,Washington
K_user_794,customer,55,Connecticut
C_user_795,customer,90,Iowa
E_user_796,customer,61,Nebraska
L_user_797,customer,54,Hawaii
I_user_798,customer,62,Ohio
Y_user_799,customer,32,South Dakota
R_user_800,customer,81,Oregon
P_user_801,customer,92,Michigan
I_user_802,customer,58,New Hampshire
V_user_803,customer,52,Virginia
K_user_804,customer,13,Iowa
B_user_805,customer,52,North Dakota
N_user_806,customer,15,New Hampshire
P_user_807,customer,27,Virginia
A_user_808,customer,85,Colorado
C_user_809,customer,42,Texas
L_user_810,customer,81,North Carolina
T_user_811,customer,21,Maine
S_user_812,customer,20,South Dakota
Z_user_813,customer,71,Maine
X_user_814,customer,15,Utah
C_user_815,customer,98,California
I_user_816,customer,22,Hawaii
B_user_817,customer,79,Washington
I_user_818,customer,43,Kansas
S_user_819,customer,42,Tennessee
V_user_820,customer,48,Alabama
S_user_821,customer,82,Georgia
P_user_822,customer,99,Wisconsin
X_user_823,customer,13,Indiana
F_user_824,customer,92,Wisconsin
M_user_825,customer,98,Alabama
M_user_826,customer,15,Montana
B_user_827,customer,34,Massachusetts
L_user_828,customer,99,Wyoming
H_user_829,customer,74,Ohio
K_user_830,customer,31,Connecticut
W_user_831,customer,60,Virginia
Y_user_832,customer,56,Texas
A_user_833,customer,95,Oklahoma
T_user_834,customer,64,Alabama
S_user_835,customer,38,Oregon
E_user_836,customer,14,Iowa
A_user_837,customer,48,North Dakota
Y_user_838,customer,52,California
B_user_839,customer,48,West Virginia
Z_user_840,customer,39,West Virginia
A_user_841,customer,89,Rhode Island
Q_user_842,customer,51,Kentucky
O_user_843,customer,42,South Dakota
L_user_844,customer,90,Louisiana
T_user_845,customer,45,Hawaii
